Entity,Code,Year,Fatal accidents per million commercial flights
World,OWID_WRL,1970,6.4561877
World,OWID_WRL,1971,4.945026
World,OWID_WRL,1973,6.246864
World,OWID_WRL,1974,6.2669506
World,OWID_WRL,1975,4.759484
World,OWID_WRL,1976,5.437681
World,OWID_WRL,1977,5.244103
World,OWID_WRL,1978,4.0260415
World,OWID_WRL,1979,5.162671
World,OWID_WRL,1980,3.0827005
World,OWID_WRL,1981,3.7000613
World,OWID_WRL,1982,3.0960352
World,OWID_WRL,1983,2.974337
World,OWID_WRL,1984,2.630656
World,OWID_WRL,1985,3.2778895
World,OWID_WRL,1986,2.9975545
World,OWID_WRL,1987,3.2465572
World,OWID_WRL,1988,3.8902376
World,OWID_WRL,1989,3.8513384
World,OWID_WRL,1990,2.879888
World,OWID_WRL,1991,3.4120424
World,OWID_WRL,1992,3.1503875
World,OWID_WRL,1993,2.68982
World,OWID_WRL,1994,2.7876346
World,OWID_WRL,1995,2.7209826
World,OWID_WRL,1996,2.5852609
World,OWID_WRL,1997,1.8929123
World,OWID_WRL,1998,2.391468
World,OWID_WRL,1999,2.1218522
World,OWID_WRL,2000,1.6811565
World,OWID_WRL,2001,1.6169442
World,OWID_WRL,2002,1.5852133
World,OWID_WRL,2003,1.2216543
World,OWID_WRL,2004,1.3472201
World,OWID_WRL,2005,1.4040471
World,OWID_WRL,2006,0.96659666
World,OWID_WRL,2007,1.153136
World,OWID_WRL,2008,1.0196842
World,OWID_WRL,2009,0.8804662
World,OWID_WRL,2010,0.8933867
World,OWID_WRL,2011,1.0255191
World,OWID_WRL,2012,0.54080665
World,OWID_WRL,2013,0.71516263
World,OWID_WRL,2014,0.5450132
World,OWID_WRL,2015,0.2938533
World,OWID_WRL,2016,0.45277408
World,OWID_WRL,2017,0.2754862
World,OWID_WRL,2018,0.37427512
World,OWID_WRL,2019,0.5251697
World,OWID_WRL,2020,0.39803416
World,OWID_WRL,2021,0.4572932